File ID,Code,Kbook ID,Barry,Mislabeled,comma,Library,Path,Filename,Artist,Song
16086,SC8677-06,10167,0,0,1,Sound Choice,SC8000/8650/SC8677,"SC8677-06 - Hoffman, Billy - You're The Ticket","Hoffman, Billy",You're The Ticket
7573,SC3191-02,10168,0,0,0,Sound Choice,SC3000/3150/SC3191,SC3191-02 - Hoku - Another Dumb Blonde,Hoku,Another Dumb Blonde
15033,SC8607-10,10169,0,0,0,Sound Choice,SC8000/8600/SC8607,SC8607-10 - Hoku - Another Dumb Blonde,Hoku,Another Dumb Blonde
28086,SFMW875-03,10170,0,0,0,Sunfly,SFMW Most Wanted/850/SFMW875,SFMW875-03 - Hoku - Perfect Day,Hoku,Perfect Day
7127,SC3135-04,10171,0,0,0,Sound Choice,SC3000/3100/SC3135,SC3135-04 - Hole - Awful,Hole,Awful
7485,SC3180-02,10172,0,0,0,Sound Choice,SC3000/3150/SC3180,SC3180-02 - Hole - Be A Man,Hole,Be A Man
3680,SC2227-08,10173,0,0,0,Sound Choice,SC2000/2200/SC2227 90's Female Hits Vol.14,CELEBRITY SKIN - HOLE - SC2227-08,Hole,Celebrity Skin
6865,SC3102-06,10174,0,0,0,Sound Choice,SC3000/3100/SC3102,SC3102-06 - Hole - Celebrity Skin,Hole,Celebrity Skin
2664,SC2099-02,10175,0,0,0,Sound Choice,SC2000/2050/SC2099 90'S Female Hits Vol.10,GOLD DUST WOMAN - HOLE - SC2099-02,Hole,Gold Dust Woman
6952,SC3113-05,10176,0,0,0,Sound Choice,SC3000/3100/SC3113,SC3113-05 - Hole - Malibu,Hole,Malibu
28681,SFMW914-06,10177,0,0,1,Sunfly,SFMW Most Wanted/900/SFMW914,"SFMW914-06 - Holiday, Billie - Gloomy Sunday","Holiday, Billie",Gloomy Sunday
12698,SC7573-01,10178,0,0,0,Sound Choice,SC7000/7550/SC7573,SC7573 - 01 - Long Cool Woman In A Black Dress - Hollies,Hollies,Long Cool Woman In A Black Dress
17633,SC8874-08,10179,0,1,0,Sound Choice,SC8000/8850/Sc8874,LOOK THROUGH ANY WINDOW - HOLLIES - SC8874-08,Hollies,Look Through Any Window
19681,SF071-04,10180,0,0,1,Sunfly,SF Hits/050/SF 071,"SF071-04 - Hollies, The - Air That I Breathe, The","Hollies, The","Air That I Breathe, The"
24412,SFD7016-13,10181,0,0,1,Sunfly,SFD Decades/SFD7016,"SFD7016-13 - Hollies, The - Air That I Breathe, The","Hollies, The","Air That I Breathe, The"
28400,SFMW895-12,10182,0,0,1,Sunfly,SFMW Most Wanted/850/SFMW895,"SFMW895-12 - Hollies, The - Carrie Anne","Hollies, The",Carrie Anne
16182,SC8683-12,10183,0,0,1,Sound Choice,SC8000/8650/SC8683,"SC8683-12 - Hollies, The - Carrie-Anne","Hollies, The",Carrie-anne
19264,SF040-10,10184,0,0,1,Sunfly,SF Hits/000/SF 040,"SF040-10 - Hollies, The - He Ain't Heavy, He's My Brother","Hollies, The","He Ain't Heavy, He's My Brother"
19667,SF069-07,10185,0,0,1,Sunfly,SF Hits/050/SF 069,"SF069-07 - Hollies, The - Here I Go Again","Hollies, The",Here I Go Again
19335,SF045-06,10186,0,0,1,Sunfly,SF Hits/000/SF 045,"Sf045-06 - Hollies, The - I'm Alive","Hollies, The",I'm Alive
19333,SF045-04,10187,0,0,1,Sunfly,SF Hits/000/SF 045,"Sf045-04 - Just One Look - Hollies, The","Hollies, The",Just One Look
20100,SF099-06,10188,0,0,1,Sunfly,SF Hits/050/SF 099,"sf099-06 - hollies, the - stop stop stop","Hollies, The",Stop Stop Stop
